ref	value	footprint
BT351	Keystone 1059 / KZH20PCB	BT_KEYSTONE_1059_20MM
C101	100n	SM0805_FIXEDMASK
C102	100n	SM0805_FIXEDMASK
C103	100n	SM0805_FIXEDMASK
C104	100n	SM0805_FIXEDMASK
C105	100n	SM0805_FIXEDMASK
C106	100n	SM0805_FIXEDMASK
C111	100n	SM0805_FIXEDMASK
C112	100n	SM0805_FIXEDMASK
C113	100n	SM0805_FIXEDMASK
C114	100n	SM0805_FIXEDMASK
C115	100n	SM0805_FIXEDMASK
C116	100n	SM0805_FIXEDMASK
C121	10p	SM0805_FIXEDMASK
C122	10p	SM0805_FIXEDMASK
C123	10p	SM0805_FIXEDMASK
C124	10p	SM0805_FIXEDMASK
C125	10p	SM0805_FIXEDMASK
C126	10p	SM0805_FIXEDMASK
C127	10p	SM0805_FIXEDMASK
C128	10p	SM0805_FIXEDMASK
C201	100n	SM0805_FIXEDMASK
C202	100n	SM0805_FIXEDMASK
C203	100n	SM0805_FIXEDMASK
C204	100n	SM0805_FIXEDMASK
C205	100n	SM0805_FIXEDMASK
C206	100n	SM0805_FIXEDMASK
C207	100n	SM0805_FIXEDMASK
C208	100n	SM0805_FIXEDMASK
C209	100n	SM0805_FIXEDMASK
C210	100n	SM0805_FIXEDMASK
C211	100n	SM0805_FIXEDMASK
C212	100n	SM0805_FIXEDMASK
C213	100n	SM0805_FIXEDMASK
C214	100n	SM0805_FIXEDMASK
C215	100n	SM0805_FIXEDMASK
C221	100n	SM0805_FIXEDMASK
C222	100n	SM0805_FIXEDMASK
C223	100n	SM0805_FIXEDMASK
C224	100n	SM0805_FIXEDMASK
C231	100n	SM0805_FIXEDMASK
C232	100n	SM0805_FIXEDMASK
C233	100n	SM0805_FIXEDMASK
C234	100n	SM0805_FIXEDMASK
C301	4.7u	SM0805_FIXEDMASK
C302	4.7u	SM0805_FIXEDMASK
C303	4.7u	SM0805_FIXEDMASK
C304	4.7u	SM0805_FIXEDMASK
C311	4.7u	SM0805_FIXEDMASK
C312	4.7u	SM0805_FIXEDMASK
C321	4.7u	SM0805_FIXEDMASK
C322	4.7u	SM0805_FIXEDMASK
C331	100n	SM0805_FIXEDMASK
C332	100p	SM0805_FIXEDMASK
C333	100p	SM0805_FIXEDMASK
C341	100n	SM0805_FIXEDMASK
C342	1u	SM0805_FIXEDMASK
C343	100n	SM0805_FIXEDMASK
C344	10u	SM0805_FIXEDMASK
C345	10u	SM0805_FIXEDMASK
C346	3.3u	SM0805_FIXEDMASK
C347	10n	SM0805_FIXEDMASK
C348	3.3u	SM0805_FIXEDMASK
C349	10n	SM0805_FIXEDMASK
C401	100n	SM0805_FIXEDMASK
C402	100n	SM0805_FIXEDMASK
C403	100n	SM0805_FIXEDMASK
C404	100n	SM0805_FIXEDMASK
C405	100n	SM0805_FIXEDMASK
C406	33p	SM0805_FIXEDMASK
C407	33p	SM0805_FIXEDMASK
C408	10p	SM0805_FIXEDMASK
C409	10p	SM0805_FIXEDMASK
C411	10u	SM0805_FIXEDMASK
C412	100n	SM0805_FIXEDMASK
C501	100n	SM0805_FIXEDMASK
C502	100n	SM0805_FIXEDMASK
C511	100n	SM0805_FIXEDMASK
D401	LED 2mA 1.9V, green	LED-3MM-FIXED
D402	LED 2mA 1.8V, yellow	LED-3MM-FIXED
D403	LED 2mA 1.7V, red	LED-3MM-FIXED
D511	BAT54C	SOT23EBC
FB341	FILTER	
FB342	FILTER	
J101	SNESCART_EXT	SNESCART_EXT
J411	Hirose DM1AA	
J421	Molex 54819	USB-MINIB-THT
JP401	JUMPER	
JP402	JUMPER	
L301	4.7uH	
L302	4.7uH	
P113	CONN_1	
P401	CONN_7X2	pin_array_7x2
P402	CONN_2	PIN_ARRAY_2X1
P403	CONN_2	PIN_ARRAY_2X1
P404	CONN_3X2	
Q101	2N2222A	
Q301	IRLML6402PbF	
Q511	2N2222A	SOT23EBC
R101	270	SM0805_FIXEDMASK
R102	100k	
R103	4k7	
R301	20k	SM0805_FIXEDMASK
R331	680	SM0805_FIXEDMASK
R332	680	SM0805_FIXEDMASK
R333	680	SM0805_FIXEDMASK
R341	470	SM0805_FIXEDMASK
R342	10k	SM0805_FIXEDMASK
R343	470	SM0805_FIXEDMASK
R344	10k	SM0805_FIXEDMASK
R401	680	SM0805_FIXEDMASK
R402	680	SM0805_FIXEDMASK
R403	680	SM0805_FIXEDMASK
R404	10k	SM0805_FIXEDMASK
R405	100	SM0805_FIXEDMASK
R406	100	SM0805_FIXEDMASK
R407	10k	SM0805_FIXEDMASK
R421	33	SM0805_FIXEDMASK
R422	33	SM0805_FIXEDMASK
R423	1.5k	SM0805_FIXEDMASK
R511	20k	SM0805_FIXEDMASK
R512	4k7	SM0805_FIXEDMASK
R513	100k	SM0805_FIXEDMASK
RA101	100	
RA102	100	
RA103	FB	
RA104	FB	
RA105	100	
RA106	100	
RA107	100	
RA108	100	
RA109	100	
RA110	100	
RA111	100	
RA112	100	
RA113	100	
RA114	100	
U101	74ALVC164245DGG	TSSOP48
U102	74ALVC164245DGG	TSSOP48
U103	74ALVC164245DGG	TSSOP48
U201	XC3S400-PQ208	PQFP208
U301	MCP1603T-120I/OS	
U302	MCP1603T-330I/OS	
